YYYY ,MM ,DD ,SST_MIN ,SST_MAX ,SST@90th_HS ,SSTA@90th_HS ,90th_HS>0 ,DHW_from_90th_HS>1 ,BAA_7day_max
1985,3,10,27.7100,28.8200,28.3400,0.0054,0.0000,0.0000,0
1985,3,11,27.8000,28.8500,28.4800,0.1971,0.0000,0.0000,0
1985,3,12,28.5000,29.4600,28.8900,0.7182,0.3200,0.0000,0
1985,3,13,28.2700,29.6500,28.8200,0.4979,0.2700,0.0000,0
1985,3,14,28.0500,29.9000,28.6700,0.3439,0.1100,0.0000,0
1985,3,15,27.7200,29.6100,28.5400,0.2100,0.0000,0.0000,0
1985,3,16,28.0200,29.7800,28.8400,0.6290,0.3700,0.0000,0
1985,3,17,27.9000,29.9300,29.5200,0.9897,0.3300,0.0000,0
1985,3,18,27.9400,29.9400,29.5800,1.0465,0.4000,0.0000,0
1985,3,19,28.0600,29.8200,29.5300,1.0019,0.3700,0.0000,0
1985,3,20,28.1100,29.6400,28.8500,0.6465,0.3200,0.0000,0
1985,3,21,28.1600,29.4500,28.8500,0.6416,0.2900,0.0000,0
1985,3,22,28.3300,29.3600,28.8500,0.8352,0.4100,0.0000,0
1985,3,23,28.3700,29.2600,28.9600,0.8203,0.4300,0.0000,0
1985,3,24,28.6000,29.4700,29.1600,1.1071,0.6600,0.0000,0
1985,3,25,28.6600,29.4100,29.2000,1.1974,0.6500,0.0000,0
1985,3,26,28.6300,29.3600,29.0300,0.9835,0.5300,0.0000,0
1985,3,27,28.5900,29.3700,28.8400,0.8890,0.3800,0.0000,0
1985,3,28,28.5800,29.4200,28.7700,0.7700,0.2900,0.0000,0
1985,3,29,28.5800,29.4200,28.6500,0.7403,0.2200,0.0000,0
1985,3,30,28.5500,29.2300,28.6200,0.7323,0.2000,0.0000,0
1985,3,31,28.5400,29.1700,28.6300,0.7774,0.1900,0.0000,1
1985,4,1,28.5300,29.1300,28.6200,0.7632,0.2000,0.0000,1
1985,4,2,28.5300,29.1300,28.6800,0.8477,0.2100,0.0000,1
1985,4,3,28.6900,29.6400,29.4100,1.3342,0.5000,0.0000,1
1985,4,4,28.4500,29.5600,29.1500,1.1261,0.2700,0.0000,1
1985,4,5,28.1300,29.3900,28.9700,0.9252,0.0600,0.0000,1
1985,4,6,28.0400,29.1900,28.6500,0.7523,0.0000,0.0000,1
1985,4,7,28.0700,29.1000,28.9800,0.8413,0.0000,0.0000,1
1985,4,8,28.0800,29.0000,28.9500,0.8339,0.0000,0.0000,1
1985,4,9,28.0100,29.0800,28.8900,0.8348,0.0000,0.0000,1
1985,4,10,27.8300,29.0800,28.4100,0.4694,0.0000,0.0000,1
1985,4,11,27.5900,29.0200,28.3200,0.4252,0.0000,0.0000,1
1985,4,12,27.2700,28.5300,27.9600,0.0990,0.0000,0.0000,0
1985,4,13,27.1400,28.3200,27.5100,-0.2032,0.0000,0.0000,0
1985,4,14,26.6800,27.8400,27.5200,-0.3097,0.0000,0.0000,0
